City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
mount isa,-20.73,139.5,59.0,38,0,21.92,AU,1594511826
bluff,-46.6,168.33,47.23,80,99,18.07,NZ,1594511845
ribeira grande,38.52,-28.7,69.73,87,32,12.62,PT,1594511827
olafsvik,64.89,-23.71,51.28,87,100,17.54,IS,1594511899
pevek,69.7,170.31,50.02,77,62,7.34,RU,1594511835
hithadhoo,-0.6,73.08,83.35,79,18,13.82,MV,1594511849
hamilton,39.18,-84.53,72.0,82,75,11.41,US,1594511853
matagami,49.75,-77.63,64.4,100,90,11.41,CA,1594511712
emerald,-23.53,148.17,66.0,82,90,5.84,AU,1594511911
mumford,5.26,-0.76,74.1,91,51,8.46,GH,1594512003
provideniya,64.38,-173.3,56.5,51,0,3.24,RU,1594511840
ushuaia,-54.8,-68.3,35.6,80,20,18.34,AR,1594511817
pemangkat,1.17,108.97,76.75,87,24,4.9,ID,1594512004
tuktoyaktuk,69.45,-133.04,51.8,66,20,9.17,CA,1594511833
mataura,-46.19,168.86,45.73,92,76,6.2,NZ,1594511816
castro,-24.79,-50.01,59.45,77,0,7.31,BR,1594511841
yellowknife,62.46,-114.35,73.99,49,75,10.29,CA,1594511820
howard springs,-12.5,131.05,82.0,65,53,8.05,AU,1594511889
buriti dos lopes,-3.17,-41.87,73.76,92,31,3.56,BR,1594512005
sorland,67.67,12.69,52.0,77,90,19.93,NO,1594511871
mahebourg,-20.41,57.7,69.8,77,40,16.11,MU,1594511877
valparaiso,-33.04,-71.63,53.6,87,75,5.82,CL,1594511722
tubuala,9.52,-79.03,81.0,83,40,5.82,PA,1594512007
bambous virieux,-20.34,57.76,72.0,77,40,16.11,MU,1594511849
xining,36.62,101.77,55.31,69,1,1.79,CN,1594511785
rasht,37.28,49.58,72.99,70,82,1.61,IR,1594512008
shingu,33.73,135.98,75.2,88,75,9.17,JP,1594512009
chuy,-33.7,-53.46,44.55,70,49,5.88,UY,1594511852
muros,42.78,-9.06,70.0,71,0,10.0,ES,1594512010
batemans bay,-35.72,150.18,53.01,96,71,2.95,AU,1594512010
chokurdakh,70.63,147.92,65.57,49,59,7.83,RU,1594511819
nikolskoye,59.7,30.79,55.99,87,40,4.47,RU,1594511817
namibe,-15.2,12.15,64.33,56,0,7.96,AO,1594511817
palu,-0.89,119.87,80.02,77,86,1.54,ID,1594512011
khatanga,71.97,102.5,51.98,78,84,17.13,RU,1594511830
kapaa,22.08,-159.32,84.0,74,75,17.22,US,1594511849
kidal,18.44,1.41,85.57,45,57,10.85,ML,1594512011
niagara falls,43.1,-79.07,73.0,83,90,14.99,CA,1594512000
dunedin,-45.87,170.5,53.01,77,98,5.01,NZ,1594511582
saint-pierre,-21.34,55.48,64.4,77,28,4.7,RE,1594511839
saquena,-4.67,-73.52,77.0,81,79,0.54,PE,1594512012
demyansk,57.64,32.47,53.1,84,21,3.78,RU,1594512013
atuona,-9.8,-139.03,79.03,79,29,18.23,PF,1594511838
talnakh,69.49,88.4,48.2,93,90,11.18,RU,1594511864
kaitangata,-46.28,169.85,50.0,63,69,14.0,NZ,1594511815
port hardy,50.7,-127.42,57.2,93,90,6.93,CA,1594511921
sistranda,63.73,8.83,48.2,87,75,14.99,NO,1594511875
houma,29.6,-90.72,95.0,59,40,4.7,US,1594511732
bandarbeyla,9.49,50.81,80.28,69,59,33.42,SO,1594511897
letlhakane,-21.42,25.58,42.49,56,0,10.65,BW,1594512014
zamora,-4.07,-78.96,68.97,66,15,1.59,EC,1594512014
oranjestad,12.52,-70.03,84.2,74,20,19.46,AW,1594511826
ulladulla,-35.35,150.47,54.0,76,81,8.05,AU,1594512015
clyde river,70.47,-68.59,51.8,71,1,18.34,CA,1594511871
hasaki,35.73,140.83,84.0,83,75,9.17,JP,1594511844
kahului,20.89,-156.47,89.6,40,20,23.04,US,1594511868
ningxiang,37.34,111.21,60.44,90,100,2.04,CN,1594512016
ordynskoye,54.37,81.9,60.62,90,0,3.2,RU,1594512016
sao jose da coroa grande,-8.9,-35.15,75.7,84,36,10.07,BR,1594512017
tambura,5.6,27.47,68.4,92,85,2.95,SS,1594512017
marsa matruh,31.35,27.25,73.4,83,0,10.2,EG,1594512017
namatanai,-3.67,152.43,84.02,70,69,5.82,PG,1594511883
kloulklubed,7.04,134.26,82.4,83,75,3.36,PW,1594511816
sakakah,29.97,40.21,89.6,17,0,6.93,SA,1594512018
saint-paul-les-dax,43.73,-1.05,68.0,82,0,3.36,FR,1594512018
ilulissat,69.22,-51.1,46.4,65,81,4.7,GL,1594511818
chibombo,-14.66,28.07,60.28,64,0,4.74,ZM,1594512018
sao filipe,14.9,-24.5,74.12,82,30,5.21,CV,1594511892
molchanovo,57.58,83.77,63.37,82,48,7.0,RU,1594512019
abha,18.22,42.51,77.0,31,43,5.97,SA,1594512019
san isidro,-12.12,-77.05,60.8,77,40,8.05,PE,1594512019
cape town,-33.93,18.42,52.0,87,47,9.17,ZA,1594511838
ponta delgada,37.73,-25.67,68.0,72,40,5.82,PT,1594511675
ayagoz,47.97,80.44,56.66,81,0,8.61,KZ,1594512020
new norfolk,-42.78,147.06,46.99,92,67,0.78,AU,1594511850
port blair,11.67,92.75,82.08,81,100,9.31,IN,1594511888
coihaique,-45.58,-72.07,32.0,95,40,5.82,CL,1594512021
vorontsovka,50.61,40.35,58.86,84,0,6.67,RU,1594512021
adrian,41.9,-84.04,82.4,45,1,13.87,US,1594511812
curaca,-8.99,-39.91,74.84,49,32,14.5,BR,1594512021
trebinje,42.71,18.34,75.2,60,0,10.29,BA,1594512021
salalah,17.02,54.09,80.6,100,90,4.7,OM,1594511865
amuntai,-2.42,115.25,73.54,99,100,1.72,ID,1594512022
morant bay,17.88,-76.41,86.0,66,20,19.46,JM,1594511927
qui nhon,13.77,109.23,82.69,71,100,3.62,VN,1594512003
broken hill,-31.95,141.43,41.0,93,75,5.82,AU,1594512023
phan thiet,10.93,108.1,78.6,84,100,3.31,VN,1594512010
leningradskiy,69.38,178.42,47.41,59,0,17.34,RU,1594511833
dikson,73.51,80.55,40.55,100,100,14.47,RU,1594511869
westport,41.14,-73.36,77.0,90,48,1.01,US,1594511725
luderitz,-26.65,15.16,51.8,87,0,4.7,NA,1594511848
bethel,41.37,-73.41,78.8,74,75,9.17,US,1594511718
blairmore,49.6,-114.44,77.0,33,1,13.87,CA,1594512024
wanning,18.8,110.4,84.0,82,73,12.66,CN,1594511898
ahipara,-35.17,173.17,58.42,67,33,7.92,NZ,1594511895
walvis bay,-22.96,14.51,52.0,87,0,6.93,NA,1594511837
peniche,39.36,-9.38,64.99,91,91,3.0,PT,1594512025
tasiilaq,65.61,-37.64,42.8,81,62,16.11,GL,1594511844
pacific grove,36.62,-121.92,79.0,60,1,10.29,US,1594511922
georgetown,5.41,100.34,77.0,88,20,3.67,MY,1594511734
itaituba,-4.28,-55.98,77.52,81,100,2.71,BR,1594512025
alta floresta,-9.88,-56.09,79.54,46,39,2.3,BR,1594512026
ekhabi,53.51,142.97,55.2,86,99,4.07,RU,1594512026
camacha,33.08,-16.33,68.0,77,40,16.11,PT,1594511924
san cristobal,7.77,-72.22,82.4,54,75,19.46,VE,1594511807
boyolangu,-8.12,111.89,75.61,87,98,7.47,ID,1594512026
shieli,44.17,66.75,76.73,31,0,11.99,KZ,1594512027
coahuayana,18.73,-103.68,84.2,74,40,5.28,MX,1594511903
lebu,-37.62,-73.65,49.71,80,94,8.14,CL,1594511856
lillehammer,61.11,10.47,43.0,82,93,4.59,NO,1594512027
te anau,-45.42,167.72,48.78,78,100,2.95,NZ,1594511834
dzhebariki-khaya,62.22,135.8,78.85,52,43,1.12,RU,1594512028
havre-saint-pierre,50.23,-63.6,73.4,78,1,5.82,CA,1594512028
srivardhan,18.03,73.02,80.44,82,97,4.81,IN,1594512028
chapais,49.78,-74.85,68.0,94,90,3.36,CA,1594512029
veraval,20.9,70.37,83.82,81,53,16.84,IN,1594512029
klaksvik,62.23,-6.59,50.0,100,93,9.17,FO,1594511913
amapa,1.0,-52.0,72.88,98,85,2.04,BR,1594511883
selma,36.57,-119.61,105.8,22,1,7.02,US,1594511748
tiksi,71.69,128.87,53.17,65,100,3.0,RU,1594511848
boyuibe,-20.42,-63.28,62.83,62,0,2.15,BO,1594512030
spasskoye,44.61,132.8,66.87,87,74,5.01,RU,1594512030
xichang,27.9,102.26,69.96,81,100,1.01,CN,1594512030
yambio,4.57,28.4,66.42,94,81,3.09,SS,1594512030
gizo,-8.1,156.84,83.93,70,62,7.99,SB,1594512031
kouango,4.99,19.96,69.8,93,100,1.45,CF,1594512031
tabas,33.6,56.92,89.6,22,0,6.93,IR,1594511850
socorro,31.65,-106.3,105.8,11,40,9.17,US,1594512031
liverpool,53.41,-2.98,51.8,81,0,2.24,GB,1594511865
batagay-alyta,67.8,130.41,72.63,36,67,5.08,RU,1594512032
saint-francois,46.42,3.91,59.0,54,57,3.36,FR,1594511828
salta,-24.79,-65.41,55.4,47,0,5.82,AR,1594512032
nanortalik,60.14,-45.24,43.29,91,64,9.28,GL,1594511821
yumen,40.28,97.2,71.53,31,87,6.02,CN,1594511912
abu kamal,34.45,40.92,81.28,45,0,14.65,SY,1594512033
port macquarie,-31.43,152.92,55.0,98,100,2.93,AU,1594511760
severnyy,50.68,36.55,64.4,63,0,2.24,RU,1594512033
abu samrah,35.3,37.18,72.52,68,0,10.94,SY,1594512033
margate,51.38,1.39,61.0,81,18,4.12,GB,1594512034
mercedes,-34.65,-59.43,48.0,52,70,5.99,AR,1594512034
wukari,7.85,9.78,73.44,91,92,3.69,NG,1594511879
buala,-8.14,159.59,85.15,70,80,9.15,SB,1594511822
kavaratti,10.57,72.64,78.12,84,100,13.44,IN,1594511886
vernon,50.26,-119.27,79.0,51,100,8.46,CA,1594511783
wichita falls,33.91,-98.49,100.99,39,1,14.99,US,1594512035
burnie,-41.07,145.92,53.01,61,6,4.0,AU,1594512035
ayni,39.39,68.54,57.87,57,64,4.34,TJ,1594512036
gibara,21.11,-76.13,78.8,88,75,3.36,CU,1594512036
axim,4.87,-2.24,74.95,86,72,8.81,GH,1594512036
victoria,22.29,114.16,88.0,70,70,8.01,HK,1594511845
hirara,24.8,125.28,86.0,79,75,4.7,JP,1594511900
sabana grande de boya,18.95,-69.79,86.0,74,40,6.93,DO,1594512037
luorong,24.41,109.61,81.75,83,99,7.72,CN,1594512037
alghero,40.56,8.32,69.01,94,0,1.12,IT,1594512037
torbay,47.67,-52.73,64.0,77,40,11.41,CA,1594511820
tianpeng,30.99,103.94,75.2,73,100,6.71,CN,1594512038
port elizabeth,-33.92,25.57,48.2,66,19,6.93,ZA,1594511568
norman wells,65.28,-126.83,59.0,67,90,10.29,CA,1594511800
soyo,-6.13,12.37,71.47,83,16,7.25,AO,1594512038
heihe,50.24,127.49,77.0,69,0,4.47,CN,1594512039
kruisfontein,-34.0,24.73,45.14,66,36,6.49,ZA,1594511878
mehamn,71.04,27.85,46.11,87,100,3.58,NO,1594512039
dicabisagan,17.08,122.42,85.17,67,28,2.33,PH,1594512039
mar del plata,-38.0,-57.56,50.0,53,71,12.75,AR,1594511814
bengkulu,-3.8,102.27,75.54,86,54,3.44,ID,1594511829
qaanaaq,77.48,-69.36,45.9,58,12,3.78,GL,1594511866
simnas,54.4,23.65,51.8,87,99,3.36,LT,1594512040
lompoc,34.64,-120.46,79.0,56,0,14.99,US,1594511815
mwene-ditu,-7.0,23.45,69.73,60,10,1.95,CD,1594512041
kavieng,-2.57,150.8,84.43,71,100,9.31,PG,1594511861
fairbanks,64.84,-147.72,70.0,37,20,6.93,US,1594512041
comodoro rivadavia,-45.87,-67.5,42.8,48,2,10.29,AR,1594512003
beringovskiy,63.05,179.32,49.32,84,97,2.93,RU,1594511849
tocopilla,-22.09,-70.2,59.38,69,18,6.67,CL,1594512042
kondinskoye,59.65,67.41,61.72,71,13,9.62,RU,1594512042
kieta,-6.22,155.63,85.86,63,86,5.61,PG,1594512042
birao,10.28,22.79,72.52,87,88,4.7,CF,1594512042
worland,44.02,-107.96,93.2,14,1,9.17,US,1594512043
ziro,27.63,93.83,59.68,100,100,1.05,IN,1594512043
araouane,18.9,-3.53,93.7,28,36,4.59,ML,1594512043
ferme-neuve,46.7,-75.45,69.64,95,99,4.74,CA,1594512043
leo,11.1,-2.1,74.43,87,76,5.99,BF,1594512043
chernyshevskiy,63.01,112.47,60.75,68,16,6.38,RU,1594512044
geraldton,-28.77,114.6,51.8,40,0,23.04,AU,1594511861
cairns,-16.92,145.77,73.4,83,90,9.17,AU,1594512044
joao pinheiro,-17.74,-46.17,65.19,60,22,4.34,BR,1594512044
jamestown,42.1,-79.24,72.0,78,40,13.87,US,1594511815
slave lake,55.28,-114.77,77.0,41,75,12.75,CA,1594511749
bathsheba,13.22,-59.52,82.4,78,40,19.46,BB,1594511826
cherskiy,68.75,161.3,50.59,69,99,13.31,RU,1594511851
ponta pora,-22.54,-55.73,66.85,67,0,6.98,BR,1594512045
verkh-usugli,52.7,115.17,70.48,55,96,4.68,RU,1594512046
bredasdorp,-34.53,20.04,48.2,76,0,5.82,ZA,1594511847
vestmanna,62.16,-7.17,50.0,100,99,9.17,FO,1594511874
nyurba,63.28,118.33,70.11,81,53,7.7,RU,1594512046
yulara,-25.24,130.99,39.2,69,0,6.93,AU,1594511822
zhigansk,66.77,123.37,61.83,93,65,22.5,RU,1594511915
souillac,-20.52,57.52,69.8,77,40,16.11,MU,1594511860
kotma,23.2,81.97,76.35,85,89,3.58,IN,1594512047
lavrentiya,65.58,-171.0,56.75,46,13,7.58,RU,1594511874
elban,50.1,136.51,70.79,68,15,8.57,RU,1594512047
port lincoln,-34.73,135.87,55.58,75,7,9.84,AU,1594512048
presidencia roque saenz pena,-26.79,-60.44,60.04,92,67,4.21,AR,1594512048
albania,41.0,20.0,69.8,73,0,3.36,AL,1594512048
zhangye,38.93,100.45,71.98,35,0,6.82,CN,1594512048
zavitinsk,50.12,129.45,75.47,79,0,3.58,RU,1594512048
labuhan,-6.88,112.21,77.86,81,82,9.57,ID,1594511860
pingliang,35.54,106.69,62.01,84,88,3.2,CN,1594512049
arona,28.1,-16.68,73.99,73,3,9.17,ES,1594512049
churapcha,62.0,132.43,77.11,50,40,9.28,RU,1594512049
grand-lahou,5.14,-5.02,74.66,84,96,7.94,CI,1594512050
milkovo,54.72,158.62,60.46,87,100,2.82,RU,1594512050
lakes entrance,-37.88,147.98,50.0,97,97,6.24,AU,1594512050
bowling green,36.99,-86.44,87.8,48,1,6.93,US,1594511931
nantucket,41.28,-70.1,73.0,94,90,11.41,US,1594512051
narsaq,60.92,-46.05,55.4,76,29,4.7,GL,1594511826
vagur,61.47,-6.81,51.6,95,98,18.37,FO,1594512051
conceicao da barra,-18.59,-39.73,68.5,91,1,2.53,BR,1594512051
saldanha,-33.01,17.94,44.6,87,23,2.24,ZA,1594511829
honningsvag,70.98,25.97,49.53,77,100,9.91,NO,1594512051
kastamonu,41.5,33.67,53.71,82,0,0.94,TR,1594512052
mamallapuram,12.63,80.17,80.6,88,40,4.7,IN,1594512052
apaseo el alto,20.45,-100.62,79.0,50,75,18.34,MX,1594511828
eureka,40.8,-124.16,68.0,31,13,5.01,US,1594512052
launceston,-41.45,147.17,45.0,93,90,10.29,AU,1594512052
santa maria do para,-1.35,-47.58,73.42,96,52,4.5,BR,1594512053
anuppur,23.1,81.68,77.22,82,66,6.38,IN,1594511952
egvekinot,66.32,-179.17,60.04,44,2,4.25,RU,1594512053
turiacu,-1.66,-45.37,75.02,92,55,4.05,BR,1594512054
maple creek,49.92,-109.48,80.11,32,0,9.71,CA,1594512054
preveza,38.95,20.75,73.4,88,0,5.82,GR,1594511969
khorixas,-20.37,14.97,52.21,34,0,9.28,NA,1594512054
victor harbor,-35.57,138.62,55.0,85,66,1.99,AU,1594511875
kudahuvadhoo,2.67,72.89,83.59,75,68,9.13,MV,1594511887
padang,-0.95,100.35,77.63,78,97,3.33,ID,1594511844
novopokrovka,49.84,36.55,64.4,72,0,2.24,UA,1594512055
wagar,16.15,36.2,92.35,37,76,18.99,SD,1594512055
jaque,7.52,-78.17,77.36,83,100,2.48,PA,1594512056
sudak,44.85,34.97,71.29,67,0,9.4,UA,1594512056
vestmannaeyjar,63.44,-20.27,51.82,89,100,6.58,IS,1594512056
vanimo,-2.67,141.3,81.99,71,100,2.21,PG,1594512057
iqaluit,63.75,-68.51,41.0,93,90,5.82,CA,1594511842
alofi,-19.06,-169.92,75.2,94,74,16.11,NU,1594511920
prince rupert,54.32,-130.32,55.4,87,90,4.7,CA,1594511585
harnai,30.1,67.94,85.86,32,0,3.06,PK,1594512057
san andres,12.58,-81.7,84.2,79,75,12.75,CO,1594512012
simpang,-1.27,104.08,74.26,94,92,2.77,ID,1594511921
atoka,34.4,-96.02,100.4,45,1,5.82,US,1594512058
airai,-8.93,125.41,64.96,88,65,4.43,TL,1594511862
vila franca do campo,37.72,-25.43,68.0,72,40,5.82,PT,1594511852
half moon bay,37.46,-122.43,84.2,72,1,16.11,US,1594512059
kamien pomorski,53.97,14.77,61.0,87,0,1.12,PL,1594512059
nelson bay,-32.72,152.15,59.0,87,57,10.29,AU,1594511847
brownwood,31.71,-98.99,102.2,22,1,6.93,US,1594512059
longyearbyen,78.22,15.64,44.6,70,40,23.04,SJ,1594511540
bonoua,5.27,-3.6,75.2,94,40,2.24,CI,1594512059
berlevag,70.86,29.09,46.24,90,93,2.71,NO,1594512060
la ronge,55.1,-105.28,78.8,41,40,4.7,CA,1594511874
wuwei,37.93,102.64,64.99,70,1,2.26,CN,1594512060
bara,10.37,10.73,73.2,91,98,11.1,NG,1594512060
gao,16.64,1.64,91.38,37,19,7.23,ML,1594512061
susono,35.22,138.88,78.01,85,100,1.01,JP,1594512061
abbeyfeale,52.38,-9.3,55.4,76,75,5.82,IE,1594512061
tupiza,-21.45,-65.72,47.01,35,0,7.99,BO,1594512061
guerrero negro,27.98,-114.06,84.47,36,0,19.17,MX,1594511856
araguacu,-12.93,-49.83,74.97,47,8,0.34,BR,1594512062
pisco,-13.7,-76.22,62.6,77,75,6.93,PE,1594511835
progreso,21.28,-89.67,89.6,66,40,9.17,MX,1594512062
ratnagiri,16.98,73.3,80.46,81,100,3.62,IN,1594512062
itanagar,27.1,93.62,74.7,92,100,0.67,IN,1594512062
fortuna,40.6,-124.16,68.0,63,20,13.87,US,1594511851
hanyang,32.14,105.51,69.1,87,100,5.64,CN,1594512063
taksimo,56.34,114.88,77.16,44,34,2.66,RU,1594512063
dubai,25.26,55.3,93.2,63,100,5.82,AE,1594511850
kaili,-3.46,120.21,73.08,82,20,1.45,ID,1594512063
kyra,49.58,111.98,62.71,82,96,0.49,RU,1594512063
bubaque,11.28,-15.83,78.1,90,100,16.64,GW,1594511836
carnarvon,-24.87,113.63,53.6,32,0,10.29,AU,1594511739
eyl,7.98,49.82,81.7,63,53,29.21,SO,1594512064
betsiamites,48.94,-68.65,77.0,100,90,19.46,CA,1594512064
brae,60.4,-1.35,51.8,100,91,24.16,GB,1594511859
palmer,42.16,-72.33,80.6,69,90,14.99,US,1594512065
synya,65.37,58.04,55.81,75,32,3.58,RU,1594512065
manokwari,-0.87,134.08,76.98,84,100,10.51,ID,1594511742
callaway,30.15,-85.57,93.99,70,1,13.87,US,1594512002
tshikapa,-6.42,20.8,79.97,50,85,2.26,CD,1594512066
abaza,52.66,90.09,56.35,86,55,0.45,RU,1594512066
avera,33.19,-82.53,89.6,49,40,5.82,US,1594511899
nemuro,43.32,145.57,60.8,100,75,9.17,JP,1594511878
pedernales,18.04,-71.74,86.0,70,20,9.17,DO,1594512067
ancud,-41.87,-73.82,42.01,86,40,6.93,CL,1594511864
hay river,60.82,-115.8,73.4,60,75,4.7,CA,1594512067
andros,37.83,24.93,78.01,57,0,11.99,GR,1594512067
leh,34.17,77.58,56.43,38,71,4.92,IN,1594511915
minusinsk,53.71,91.69,59.0,87,32,4.47,RU,1594512068
dawlatabad,36.41,64.91,70.88,34,0,1.68,AF,1594512068
lao cai,22.48,103.95,75.58,86,100,1.05,VN,1594512068
sola,-13.88,167.55,80.65,81,49,24.63,VU,1594511921
dhidhdhoo,6.88,73.1,81.18,77,100,13.91,MV,1594512068
seybaplaya,19.65,-90.67,91.4,63,40,11.41,MX,1594512069
quatre cocos,-20.21,57.76,72.0,77,40,16.11,MU,1594511835
ust-kan,50.93,84.76,51.75,86,100,1.83,RU,1594512069
tooele,40.53,-112.3,95.0,21,1,10.29,US,1594511967
lyubech,51.7,30.66,65.07,92,22,3.87,UA,1594512069
kerema,-7.96,145.78,81.07,77,71,6.13,PG,1594512069
englewood,39.65,-104.99,93.2,10,40,11.41,US,1594511809
garissa,-0.45,39.64,74.8,72,28,18.23,KE,1594512070
jalu,29.03,21.55,74.05,64,0,9.95,LY,1594511915
darnah,32.77,22.64,73.54,81,0,16.26,LY,1594512070
ligayan,4.65,119.47,81.95,77,86,12.86,PH,1594512070
haapiti,-17.57,-149.87,82.4,54,40,4.7,PF,1594512071
dingle,11.0,122.67,81.68,78,100,0.65,PH,1594511831
kutum,14.2,24.67,74.19,59,40,9.57,SD,1594511838
komsomolskiy,40.43,71.72,71.6,49,29,6.93,UZ,1594511883
erenhot,43.65,111.98,75.33,48,100,9.69,CN,1594512071
rawson,-43.3,-65.1,41.76,63,4,24.32,AR,1594511856
tondano,1.3,124.91,78.8,88,20,2.24,ID,1594512072
alyangula,-13.85,136.42,77.0,78,40,8.05,AU,1594511822
mareeba,-17.0,145.43,73.0,84,51,4.0,AU,1594512072
lorengau,-2.02,147.27,82.56,77,92,6.33,PG,1594511842
bayir,37.27,28.22,69.8,88,0,4.56,TR,1594512073
parral,26.93,-105.67,86.97,22,30,12.3,MX,1594512036
hereford,52.06,-2.71,50.0,83,5,2.37,GB,1594512073
morro bay,35.37,-120.85,93.99,34,0,4.0,US,1594511897
tazovskiy,67.47,78.7,50.31,75,0,8.72,RU,1594512073
port augusta,-32.5,137.77,46.4,100,39,6.93,AU,1594512074
beloha,-25.17,45.05,65.73,67,0,5.91,MG,1594512074
rantepao,-2.97,119.9,71.44,85,46,0.83,ID,1594512074
kathu,7.92,98.33,82.99,100,75,4.7,TH,1594512074
puri,19.8,85.85,80.6,100,75,12.68,IN,1594512074
necochea,-38.55,-58.74,46.0,65,98,13.0,AR,1594511822
belmonte,-15.86,-38.88,71.6,83,40,1.12,BR,1594512075
paita,-5.09,-81.11,64.54,80,0,14.83,PE,1594512075
rabo de peixe,37.8,-25.58,68.0,72,20,5.82,PT,1594512075
mandali,33.75,45.55,92.98,13,0,10.87,IQ,1594512075
gambiran,-6.8,111.5,75.45,82,80,7.25,ID,1594512076
henties bay,-22.12,14.28,52.0,83,0,1.01,NA,1594512076
chumikan,54.72,135.31,50.74,92,100,7.14,RU,1594512076
fort smith,35.39,-94.4,98.01,50,1,8.05,US,1594511860
porto san giorgio,43.18,13.79,73.0,74,15,1.01,IT,1594511938
los llanos de aridane,28.66,-17.92,71.6,78,75,14.99,ES,1594511875
plettenberg bay,-34.05,23.37,51.08,56,15,5.19,ZA,1594512077
terrace,54.52,-128.6,62.6,63,75,18.34,CA,1594512061
letlhakeng,-24.09,25.03,38.98,68,0,6.82,BW,1594512077
rudnogorsk,57.26,103.75,60.22,63,63,2.04,RU,1594512077
nadym,65.53,72.52,54.88,68,100,12.77,RU,1594512078
teguldet,57.31,88.17,59.23,78,17,5.17,RU,1594511859
san jeronimo,-11.95,-75.28,51.6,65,13,4.61,PE,1594512078
tezu,27.92,96.17,74.84,87,100,3.31,IN,1594511854
